regime,tp_r,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
live,3.0,audusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,13,5,8,38.46153846153847,4.921049589539324,0.3785422761184095,1.5838586114210795,492.1049589539324,4.921049589539324,-741.5804991448877,-7.415804991448876,582.1538461538462,11,2,2.9847948298100677,1.9362547597292563,4,8,1,348.9076923076907,26,16,0
live,3.0,audusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,87,24,63,27.586206896551722,4.796224979492957,0.055129022752792606,1.0726199499136762,479.62249794929573,4.7962249794929575,-997.0828973450643,-9.970828973450644,67.5632183908046,43,44,-1.0528342257636867,5.849059205256646,24,63,0,303.2183908045972,166,107,0
live,3.0,audusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,229,78,151,34.06113537117904,75.19786601347901,0.3283749607575503,1.4822854473217764,7519.7866013479,75.197866013479,-2175.4911497263383,-21.754911497263382,26.899563318777293,112,117,16.0324249615781,59.16544105190089,78,151,0,483.53711790393027,485,293,0
live,3.0,audusd,D1,6301,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,67,20,47,29.850746268656714,10.965793334253602,0.1636685572276657,1.2270700598022326,1096.5793334253608,10.965793334253608,-853.5368106178757,-8.535368106178758,9.104477611940299,37,30,1.742249342839407,9.223543991414196,20,47,0,600.3850746268656,216,71,0
live,3.0,eurgbp,M1,24741,2026-08-09 21:05:00+00:00,2026-09-03 05:37:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
live,3.0,eurgbp,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
live,3.0,eurgbp,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,4,2,2,50.0,3.7775889719160753,0.9443972429790188,2.7823655976944575,377.75889719160756,3.777588971916076,-107.30994152046696,-1.0730994152046698,475.25,2,2,1.8754602555772268,1.902128716338849,2,2,0,277.9000000000003,6,4,0
live,3.0,eurgbp,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,38,8,30,21.052631578947366,-8.607088010040421,-0.22650231605369528,0.731159825316753,-860.7088010040422,-8.607088010040423,-1600.419487633084,-16.00419487633084,139.39473684210526,21,17,1.3743866598675287,-9.981474669907952,8,30,0,299.9894736842096,55,39,0
live,3.0,eurgbp,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,181,52,129,28.7292817679558,19.58756748858786,0.10821860490932521,1.1460871505769257,1958.7567488587856,19.587567488587858,-3483.7879448315853,-34.83787944831585,35.32044198895028,94,87,10.389843354749926,9.197724133837935,52,129,0,480.3475138121543,358,231,0
live,3.0,eurgbp,D1,6301,2002-05-08 00:00:00+00:00,2026-08-21 00:00:00+00:00,68,21,47,30.88235294117647,13.854184365411076,0.2037380053736923,1.2871323474187693,1385.4184365411074,13.854184365411074,-1281.1154332095593,-12.811154332095592,11.279411764705882,27,41,15.898932248342877,-2.044747882931802,21,46,1,545.1426470588237,183,77,0
live,3.0,eurusd,M1,25837,2026-08-09 21:05:00+00:00,2026-09-03 05:39:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
live,3.0,eurusd,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,5,1,4,20.0,-1.2676193186113736,-0.2535238637222747,0.7011927559632103,-126.76193186113733,-1.2676193186113733,-211.81796274294175,-2.1181796274294173,719.2,3,2,-3.141457897424459,1.8738385788130858,1,4,0,282.52000000000606,7,7,0
live,3.0,eurusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,21,6,15,28.57142857142857,-1.0511085382061167,-0.050052787533624604,0.9337051837627797,-105.11085382061161,-1.051108538206116,-769.6420029548608,-7.696420029548608,134.38095238095238,11,10,-6.458615832074381,5.407507293868266,5,15,1,231.0190476190484,30,22,0
live,3.0,eurusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,89,24,65,26.96629213483146,3.845487255744751,0.04320772197466012,1.0572361819712366,384.5487255744753,3.8454872557447533,-2259.301262650859,-22.59301262650859,58.98876404494382,45,44,1.3912913444580168,2.4541959112867353,24,65,0,387.8764044943832,189,113,0
live,3.0,eurusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,196,61,135,31.122448979591837,41.51166665583248,0.21179421763179837,1.2971082732861712,4151.166665583249,41.511666655832485,-1291.317962501682,-12.913179625016818,27.887755102040817,94,102,27.39227100628153,14.119395649550967,61,135,0,527.8867346938777,493,259,0
live,3.0,eurusd,D1,6307,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,42,15,27,35.714285714285715,16.775341910237096,0.39941290262469276,1.6041490346358267,1677.5341910237096,16.775341910237096,-919.2159148189348,-9.192159148189347,6.071428571428571,18,24,5.605703378393972,11.169638531843123,15,27,0,635.6428571428563,228,42,0
live,3.0,gbpusd,M1,26114,2026-08-09 21:07:00+00:00,2026-09-03 05:38:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,1,0,0
