config,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
live_fill_spread,us500,M15,21838,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,51,21,30,41.17647058823529,-10.41359449178035,-0.20418812728981078,0.6642982162821089,-1041.3594491780348,-10.413594491780348,-1689.845841428547,-16.898458414285468,31.96078431372549,26,25,-2.83459814292725,-7.578996348853099,21,30,0,319.4901960784304,84,58,0
live_fill_spread,us500,H1,21826,2023-01-02 23:00:00+00:00,2026-08-21 20:00:00+00:00,110,59,51,53.63636363636364,6.110335952926793,0.05554850866297084,1.1180411812266917,611.0335952926793,6.110335952926793,-841.1439185542604,-8.411439185542603,24.181818181818183,48,62,3.2305472254695937,2.879788727457201,59,51,0,391.62181818181745,169,117,0
live_fill_spread,us500,H4,14186,2017-04-30 22:00:00+00:00,2026-08-21 17:00:00+00:00,145,84,61,57.931034482758626,20.982469403253766,0.14470668553968113,1.3397151829789105,2098.2469403253763,20.982469403253763,-834.512428677679,-8.345124286776791,12.4,89,56,21.664436352349735,-0.681966949095969,84,61,0,471.7696551724138,243,152,0
live_fill_spread,us500,D1,6991,1999-02-18 00:00:00+00:00,2026-08-21 00:00:00+00:00,72,38,34,52.77777777777778,1.4695624633520898,0.020410589768779026,1.0412460610457228,146.9562463352089,1.469562463352089,-1201.7738072959528,-12.017738072959528,7.847222222222222,53,19,1.1359633471299855,0.33359911622210436,38,34,0,398.07499999999976,151,74,0
live_fill_spread,xauusd,M5,20564,2026-05-10 22:00:00+00:00,2026-08-21 20:40:00+00:00,240,123,117,51.24999999999999,-21.07258656223273,-0.08780244400930304,0.845431160008201,-2107.258656223273,-21.072586562232733,-2395.720863762921,-23.95720863762921,4.7375,100,140,-14.574918398980515,-6.497668163252216,123,117,0,522.5525000000014,536,241,0
live_fill_spread,xauusd,M15,21007,2025-09-30 22:00:00+00:00,2026-08-21 20:30:00+00:00,133,73,60,54.88721804511278,1.2344773097923625,0.009281784284153102,1.0181141297195537,123.44773097923621,1.234477309792362,-923.0928358772198,-9.230928358772198,2.338345864661654,74,59,5.0988218838881885,-3.8643445740958247,73,60,0,618.2360902255645,608,133,0
live_fill_spread,xauusd,H1,21516,2023-01-02 23:00:00+00:00,2026-08-21 20:00:00+00:00,147,77,70,52.38095238095239,-2.82092547237231,-0.019189969199811634,0.9622045884926883,-282.09254723723103,-2.82092547237231,-1380.6874171174895,-13.806874171174895,4.258503401360544,79,68,-4.173105297375184,1.3521798250028754,77,70,0,580.1469387755089,618,148,0
live_fill_spread,xauusd,H4,21049,2013-01-02 03:00:00+00:00,2026-08-21 18:00:00+00:00,142,69,73,48.59154929577465,-12.282988849309675,-0.0864999214740118,0.8404478562443893,-1228.2988849309675,-12.282988849309675,-2399.683525296664,-23.99683525296664,3.176056338028169,80,62,0.8545942104616131,-13.137583059771286,69,73,0,614.3098591549285,647,143,0
live_fill_spread,xauusd,D1,8787,1992-08-18 00:00:00+00:00,2026-08-21 00:00:00+00:00,50,28,22,56.00000000000001,2.8875231383998154,0.05775046276799631,1.1224846814801976,288.7523138399815,2.8875231383998154,-459.09194699004365,-4.590919469900437,4.28,32,18,3.9823481942652337,-1.0948250558654191,28,22,0,537.3195999999999,269,50,0
trigger_fill_spread,audusd,M5,20095,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,5,3,2,60.0,0.780194422200261,0.1560388844400522,1.3718844930877037,78.0194422200261,0.7801944222002609,-105.91133004926087,-1.0591133004926085,638.0,3,2,-1.1235892775899563,1.9037836997902176,3,2,0,299.1999999999995,5,5,0
