fill_fraction,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
0.2,eurgbp,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,220,121,99,55.00000000000001,22.0,0.1,1.2222222222222223,2200.0,22.0,-1800.0,-18.0,13.477272727272727,113,107,19.0,3.0,121,99,0,472.0672727272725,358,231,0
0.3,eurgbp,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,219,118,101,53.88127853881278,17.0,0.0776255707762557,1.1683168316831682,1700.0,17.0,-1800.0,-18.0,12.899543378995434,112,107,16.0,1.0,118,101,0,465.0687214611868,358,231,0
0.4,eurgbp,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,219,121,98,55.25114155251142,23.0,0.1050228310502283,1.2346938775510203,2300.0,23.0,-1500.0,-15.0,12.735159817351597,112,107,18.0,5.0,121,98,0,456.8168949771684,358,231,0
0.5,eurgbp,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,220,124,96,56.36363636363636,28.0,0.12727272727272726,1.2916666666666667,2800.0,28.000000000000004,-1200.0,-12.0,11.74090909090909,112,108,20.0,8.0,124,96,0,447.71250000000026,358,231,0
0.75,eurgbp,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,219,130,89,59.3607305936073,41.0,0.1872146118721461,1.4606741573033708,4100.0,41.0,-800.0,-8.0,11.415525114155251,112,107,26.0,15.0,130,89,0,433.66952054794507,358,230,0
1.0,eurgbp,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,219,135,84,61.64383561643836,51.0,0.2328767123287671,1.6071428571428572,5100.0,51.0,-500.0,-5.0,10.114155251141552,111,108,33.0,18.0,135,84,0,426.67351598173485,358,227,0
0.0,eurgbp,D1,6301,2002-05-08 00:00:00+00:00,2026-08-21 00:00:00+00:00,72,44,28,61.111111111111114,16.0,0.2222222222222222,1.5714285714285714,1600.0,16.0,-800.0,-8.0,5.291666666666667,28,44,6.0,10.0,44,28,0,569.2499999999995,183,77,0
0.1,eurgbp,D1,6301,2002-05-08 00:00:00+00:00,2026-08-21 00:00:00+00:00,72,45,27,62.5,18.0,0.25,1.6666666666666667,1800.0,18.0,-700.0,-7.000000000000001,4.902777777777778,27,45,7.0,11.0,45,27,0,552.4006944444445,183,76,0
0.2,eurgbp,D1,6301,2002-05-08 00:00:00+00:00,2026-08-21 00:00:00+00:00,73,47,26,64.38356164383562,21.0,0.2876712328767123,1.8076923076923077,2100.0,21.0,-700.0,-7.000000000000001,4.835616438356165,28,45,10.0,11.0,47,26,0,540.5082191780823,183,77,0
0.3,eurgbp,D1,6301,2002-05-08 00:00:00+00:00,2026-08-21 00:00:00+00:00,73,47,26,64.38356164383562,21.0,0.2876712328767123,1.8076923076923077,2100.0,21.0,-700.0,-7.000000000000001,4.794520547945205,28,45,10.0,11.0,47,26,0,536.5712328767121,183,77,0
0.4,eurgbp,D1,6301,2002-05-08 00:00:00+00:00,2026-08-21 00:00:00+00:00,72,49,23,68.05555555555556,26.0,0.3611111111111111,2.130434782608696,2600.0,26.0,-600.0,-6.0,4.486111111111111,29,43,9.0,17.0,49,23,0,540.0722222222224,183,76,0
0.5,eurgbp,D1,6301,2002-05-08 00:00:00+00:00,2026-08-21 00:00:00+00:00,75,53,22,70.66666666666667,31.0,0.41333333333333333,2.409090909090909,3100.0,31.0,-400.0,-4.0,4.493333333333333,30,45,12.0,19.0,53,22,0,551.5966666666666,183,79,0
0.75,eurgbp,D1,6301,2002-05-08 00:00:00+00:00,2026-08-21 00:00:00+00:00,76,56,20,73.68421052631578,36.0,0.47368421052631576,2.8,3600.0,36.0,-200.0,-2.0,4.105263157894737,30,46,14.0,22.0,56,20,0,514.5805921052633,183,79,0
1.0,eurgbp,D1,6301,2002-05-08 00:00:00+00:00,2026-08-21 00:00:00+00:00,75,57,18,76.0,39.0,0.52,3.1666666666666665,3900.0,39.0,-200.0,-2.0,4.053333333333334,29,46,15.0,24.0,57,18,0,492.8666666666667,183,77,0
0.0,eurusd,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,7,3,4,42.857142857142854,-1.0,-0.14285714285714285,0.75,-100.0,-1.0,-200.0,-2.0,216.57142857142858,5,2,-3.0,2.0,3,4,0,280.000000000004,7,7,0
0.1,eurusd,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,7,3,4,42.857142857142854,-1.0,-0.14285714285714285,0.75,-100.0,-1.0,-200.0,-2.0,216.57142857142858,5,2,-3.0,2.0,3,4,0,278.1000000000081,7,7,0
0.2,eurusd,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,7,4,3,57.14285714285714,1.0,0.14285714285714285,1.3333333333333333,100.0,1.0,-100.0,-1.0,177.42857142857142,5,2,-1.0,2.0,4,3,0,276.2000000000058,7,7,0
0.3,eurusd,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,7,4,3,57.14285714285714,1.0,0.14285714285714285,1.3333333333333333,100.0,1.0,-100.0,-1.0,177.42857142857142,5,2,-1.0,2.0,4,3,0,274.3000000000035,7,7,0
0.4,eurusd,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,7,4,3,57.14285714285714,1.0,0.14285714285714285,1.3333333333333333,100.0,1.0,-100.0,-1.0,177.28571428571428,5,2,-1.0,2.0,4,3,0,272.40000000000117,7,7,0
0.5,eurusd,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,7,4,3,57.14285714285714,1.0,0.14285714285714285,1.3333333333333333,100.0,1.0,-100.0,-1.0,177.28571428571428,5,2,-1.0,2.0,4,3,0,270.5000000000021,7,7,0
0.75,eurusd,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,7,4,3,57.14285714285714,1.0,0.14285714285714285,1.3333333333333333,100.0,1.0,-100.0,-1.0,177.0,5,2,-1.0,2.0,4,3,0,265.75000000000426,7,7,0
1.0,eurusd,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,7,4,3,57.14285714285714,1.0,0.14285714285714285,1.3333333333333333,100.0,1.0,-100.0,-1.0,176.85714285714286,5,2,-1.0,2.0,4,3,0,261.00000000000324,7,7,0
0.0,eurusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,22,12,10,54.54545454545454,1.0942812982998458,0.04974005901362935,1.1094281298299846,109.42812982998457,1.0942812982998458,-400.0,-4.0,50.04545454545455,12,10,-4.905718701700154,6.0,11,10,1,234.5454545454559,30,22,0
0.1,eurusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,22,13,9,59.09090909090909,3.1111111111110996,0.14141414141414088,1.3456790123456777,311.11111111110995,3.1111111111110996,-300.0,-3.0,45.54545454545455,12,10,-4.888888888888901,8.0,12,9,1,229.95454545454504,30,22,0
